Publication Type,Authors,Article Title,Source Title,Publication Year,Author Keywords,Abstract,Research Areas,Open Access,Satellite,Application,Domain,ML Technique,Algorithm Complexity,Accuracy (%),F1-score (%),Precision (%),Recall (%),Producer accuracy (%),User accuracy (%),Pixel accuracy,Kappa (%),IoU (%),MIoU (%),Dice (%),R-squared,RMSE,MAE,Parameter Description
J,"Ji, SP; Zhang, C; Xu, AJ; Shi, Y; Duan, YL",3D Convolutional Neural Networks for Crop Classification with Multi-Temporal Remote Sensing Images,REMOTE SENSING,2018,3D convolution; convolutional neural networks; crop classification; multi-temporal remote sensing images; active learning,"This study describes a novel three-dimensional (3D) convolutional neural networks (CNN) based method that automatically classifies crops from spatio-temporal remote sensing images. First, 3D kernel is designed according to the structure of multi-spectral multi-temporal remote sensing data. Secondly, the 3D CNN framework with fine-tuned parameters is designed for training 3D crop samples and learning spatio-temporal discriminative representations, with the full crop growth cycles being preserved. In addition, we introduce an active learning strategy to the CNN model to improve labelling accuracy up to a required threshold with the most efficiency. Finally, experiments are carried out to test the advantage of the 3D CNN, in comparison to the two-dimensional (2D) CNN and other conventional methods. Our experiments show that the 3D CNN is especially suitable in characterizing the dynamics of crop growth and outperformed the other mainstream methods.",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,Gaofen-2,Crop classification,Agriculture,Classification,no,91.5,,,,,,,85.8,,,,,,,
J,"Fathi, Mahdiyeh; Shah-Hosseini, Reza; Moghimi, Armin","3D-ResNet-BiLSTM Model: A Deep Learning Model for County-Level Soybean Yield Prediction with Time-Series Sentinel-1, Sentinel-2 Imagery, and Daymet Data",REMOTE SENSING,2023,soybean; yield prediction; Conv3D; ResNet; BiLSTM; Sentinel 1-2; Daymet; Google Earth Engine (GEE),"Ensuring food security in precision agriculture requires early prediction of soybean yield at various scales within the United States (U.S.), ranging from international to local levels. Accurate yield estimation is essential in preventing famine by providing insights into food availability during the growth season. Numerous deep learning (DL) algorithms have been developed to estimate soybean yield effectively using time-series remote sensing (RS) data to achieve this goal. However, the training data with short time spans can limit their ability to adapt to the dynamic and nuanced temporal changes in crop conditions. To address this challenge, we designed a 3D-ResNet-BiLSTM model to efficiently predict soybean yield at the county level across the U.S., even when using training data with shorter periods. We leveraged detailed Sentinel-2 imagery and Sentinel-1 SAR images to extract spectral bands, key vegetation indices (VIs), and VV and VH polarizations. Additionally, Daymet data was incorporated via Google Earth Engine (GEE) to enhance the model's input features. To process these inputs effectively, a dedicated 3D-ResNet architecture was designed to extract high-level features. These enriched features were then fed into a BiLSTM layer, enabling accurate prediction of soybean yield. To evaluate the efficacy of our model, its performance was compared with that of well-known models, including the Linear Regression (LR), Random Forest (RF), and 1D/2D/3D-ResNet models, as well as a 2D-CNN-LSTM model. The data from a short period (2019 to 2020) were used to train all models, while their accuracy was assessed using data from the year 2021. The experimental results showed that the proposed 3D-Resnet-BiLSTM model had a superior performance compared to the other models, achieving remarkable metrics (R2 = 0.791, RMSE = 5.56 Bu Ac-1, MAE = 4.35 Bu Ac-1, MAPE = 9%, and RRMSE = 10.49%). Furthermore, the 3D-ResNet-BiLSTM model showed a 7% higher R2 than the ResNet and RF models and an enhancement of 27% and 17% against the LR and 2D-CNN-LSTM models, respectively. The results highlighted our model's potential for accurate soybean yield predictions, supporting sustainable agriculture and food security.",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,Sentinel-2,Predicting soybean yield,Vegetation,Regression,yes,,,,,,,,,,,,0.758,,,Soybean yield (Bu Ac−1)
J,"Seydi, ST; Amani, M; Ghorbanian, A",A Dual Attention Convolutional Neural Network for Crop Classification Using Time-Series Sentinel-2 Imagery,REMOTE SENSING,2022,crop mapping; deep learning; convolutional neural networks (CNN); attention modules (AM); dual attention CNN; Sentinel-2; multi-temporal,"Accurate and timely mapping of crop types and having reliable information about the cultivation pattern/area play a key role in various applications, including food security and sustainable agriculture management. Remote sensing (RS) has extensively been employed for crop type classification. However, accurate mapping of crop types and extents is still a challenge, especially using traditional machine learning methods. Therefore, in this study, a novel framework based on a deep convolutional neural network (CNN) and a dual attention module (DAM) and using Sentinel-2 time-series datasets was proposed to classify crops. A new DAM was implemented to extract informative deep features by taking advantage of both spectral and spatial characteristics of Sentinel-2 datasets. The spectral and spatial attention modules (AMs) were respectively applied to investigate the behavior of crops during the growing season and their neighborhood properties (e.g., textural characteristics and spatial relation to surrounding crops). The proposed network contained two streams: (1) convolution blocks for deep feature extraction and (2) several DAMs, which were employed after each convolution block. The first stream included three multi-scale residual convolution blocks, where the spectral attention blocks were mainly applied to extract deep spectral features. The second stream was built using four multi-scale convolution blocks with a spatial AM. In this study, over 200,000 samples from six different crop types (i.e., alfalfa, broad bean, wheat, barley, canola, and garden) and three non-crop classes (i.e., built-up, barren, and water) were collected to train and validate the proposed framework. The results demonstrated that the proposed method achieved high overall accuracy and a Kappa coefficient of 98.54% and 0.981, respectively. It also outperformed other state-of-the-art classification methods, including RF, XGBOOST, R-CNN, 2D-CNN, 3D-CNN, and CBAM, indicating its high potential to discriminate different crop types.",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,Sentinel-2,Crop classification,Agriculture,Classification,no,95.73,,,,,,,94.7,,,,,,,
J,"Azeez, OS; Shafri, HZM; Alias, AH; Haron, NA",A Joint Bayesian Optimization for the Classification of Fine Spatial Resolution Remotely Sensed Imagery Using Object-Based Convolutional Neural Networks,LAND,2022,object-based convolution neural networks; deep learning; Bayesian optimization; decision-level fusion; Worldview-3,"In recent years, deep learning-based image classification has become widespread, especially in remote sensing applications, due to its automatic and strong feature extraction capability. However, as deep learning methods operate on rectangular-shaped image patches, they cannot accurately extract objects' boundaries, especially in complex urban settings. As a result, combining deep learning and object-based image analysis (OBIA) has become a new avenue in remote sensing studies. This paper presents a novel approach for combining convolutional neural networks (CNN) with OBIA based on joint optimization of segmentation parameters and deep feature extraction. A Bayesian technique was used to find the best parameters for the multiresolution segmentation (MRS) algorithm while the CNN model learns the image features at different layers, achieving joint optimization. The proposed classification model achieved the best accuracy, with 0.96 OA, 0.95 Kappa, and 0.96 mIoU in the training area and 0.97 OA, 0.96 Kappa, and 0.97 mIoU in the test area, outperforming several benchmark methods including Patch CNN, Center OCNN, Random OCNN, and Decision Fusion. The analysis of CNN variants within the proposed classification workflow showed that the HybridSN model achieved the best results compared to 2D and 3D CNNs. The 3D CNN layers and combining 3D and 2D CNN layers (HybridSN) yielded slightly better accuracies than the 2D CNN layers regarding geometric fidelity, object boundary extraction, and separation of adjacent objects. The Bayesian optimization could find comparable optimal MRS parameters for the training and test areas, with excellent quality measured by AFI (0.046, -0.037) and QR (0.945, 0.932). In the proposed model, higher accuracies could be obtained with larger patch sizes (e.g., 9 x 9 compared to 3 x 3). Moreover, the proposed model is computationally efficient, with the longest training being fewer than 25 s considering all the subprocesses and a single training epoch. As a result, the proposed model can be used for urban and environmental applications that rely on VHR satellite images and require information about land use.",Environmental Sciences & Ecology,yes,Worldview-3,Urban land-use and land-cover,Urban,Classification,no,94,,,,,,,93,,94,,,,,
C,Bergamasco L.; Bovolo F.; Bruzzone L.,A novel deep learning data structure for multispectral remote sensing images,Proceedings of SPIE - The International Society for Optical Engineering,2020,Convolutional neural network; Data-cube analysis; Deep-learning classification; Remote sensing; Spatial-spectral analysis,"Standard deep-learning (DL) architectures do not optimize the use of the spatial and spectral information in the multi-spectral images but often consider only one of the two components. Two-stream DL architectures split and process them separately. However, the fusing of the output of the two streams is a challenging task. 3D-CNN processes spatial and spectral information together at the cost of a large number of parameters. To overcome these limitations, we propose a novel DL data structure that re-organizes the spectral and spatial information in remote-sensing (RS) images and process them together. Representing a RS image I as a data cube, we handle the spatial and spectral information by reducing the spectral bands from N to M, where M can drop out to one. The spectral information is projected in the spatial dimensions and re-organized in 2-dimensional B blocks. The proposed approach analyzes the spectral information of each block by using 2-dimensional convolutional kernels of appropriate size and stride. The output represents the relationship between the spectral bands of the input image and preserves the spatial relationship between its neighboring pixels. The spatial relationships are analyzed by processing the output of the previous layer with standard 2D-CNNs. Experiments by using images acquired by Sentinel-2 and Landsat-8 data and the labels of the LUCAS database released in 2018 provide promising results. © SPIE. Downloading of the abstract is permitted for personal use only.",,no,"Sentinel-2, Landsat-8",Land-use and land-cover,Vegetation,Classification,yes,,,,,,,,,,,,,,,
J,"Papadopoulou, Eleni; Mallinis, Giorgos; Siachalou, Sofia; Koutsias, Nikos; Thanopoulos, Athanasios C.; Tsaklidis, Georgios",Agricultural Land Cover Mapping through Two Deep Learning Models in the Framework of EU's CAP Activities Using Sentinel-2 Multitemporal Imagery,REMOTE SENSING,2023,crop classification; entropy; land cover mapping; neural networks; random forest; remote sensing; Sentinel-2 images; uncertainty,"The images of the Sentinel-2 constellation can help the verification process of farmers' declarations, providing, among other things, accurate spatial explicit maps of the agricultural land cover. The aim of the study is to design, develop, and evaluate two deep learning (DL) architectures tailored for agricultural land cover and crop type mapping. The focus is on a detailed class scheme encompassing fifteen distinct classes, utilizing Sentinel-2 imagery acquired on a monthly basis throughout the year. The study's geographical scope covers a diverse rural area in North Greece, situated within southeast Europe. These architectures are a Temporal Convolutional Neural Network (CNN) and a combination of a Recurrent and a 2D Convolutional Neural Network (R-CNN), and their accuracy is compared to the well-established Random Forest (RF) machine learning algorithm. The comparative approach is not restricted to simply presenting the results given by classification metrics, but it also assesses the uncertainty of the classification results using an entropy measure and the spatial distribution of the classification errors. Furthermore, the issue of sampling strategy for the extraction of the training set is highlighted, targeting the efficient handling of both the imbalance of the dataset and the spectral variability of instances among classes. The two developed deep learning architectures performed equally well, presenting an overall accuracy of 90.13% (Temporal CNN) and 90.18% (R-CNN), higher than the 86.31% overall accuracy of the RF approach. Finally, the Temporal CNN method presented a lower entropy value (6.63%), compared both to R-CNN (7.76%) and RF (28.94%) methods, indicating that both DL approaches should be considered for developing operational EO processing workflows.",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,Sentinel-2,Crop classification,Agriculture,Classification,yes,90.18,86.03,,87.44,,,,,,,,,,,
J,"Zhao, Xin; Ma, Yi; Xiao, Yanfang; Liu, Jianqiang; Ding, Jing; Ye, Xiaomin; Liu, Rongjie",Atmospheric correction algorithm based on deep learning with spatial-spectral feature constraints for broadband optical satellites: Examples from the HY-1C Coastal Zone Imager,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,2023,Atmospheric correction; Broadband optical satellite; HY-1C coastal zone imager (CZI); Convolution neural network (CNN); Spatial-spectral feature constraint,"Broadband optical satellites have been widely used for fine monitoring of coastal waters and inland lakes for their high spatial resolution. Atmospheric correction (AC) is one of the essential data processing steps for remote sensing of water environments with high spatial resolution satellites. Most broadband optical satellites, such as HY-1C Coastal Zone Imager (CZI) with a spatial resolution of 50 m, lack of near-infrared and shortwave infrared bands needed for atmospheric correction, making accurate AC difficult. Auxiliary aerosol data is often needed for accurate AC of broadband optical satellite data, which suffers from the differences in spatial resolution and imaging time between auxiliary data and satellite data. Furthermore, existing AC algorithms always perform AC pixel by pixel, which ignores the spatial relationship between adjacent pixels. Taking HY-1C CZI as an example, this paper proposes a novel atmospheric correction algorithm based on deep learning (SSACNet). Considering the inherent spatial-spectral features of satellite images, the SSACNet combines 2D and 3D convolution. The 3D convolution was used to mine the spatial and spectral features of the image and 2D convolution was explored to perform spatial information compensation. The SSACNet was trained and evaluated using the spatio-temporally synchronized dataset of HY-1C CZI and Landsat8 Operational Land Imager (OLI). The evaluation results by in-situ data show that the SSACNet has good performance, with the average correlation coefficient of 0.89, and the absolute percentage deviation (APD) of four bands ranging from 21.53 % to 35.41 %. Compared with the quasisynchronous Landsat8 OLI remote sensing reflectance (Rrs), the APD is less than 10 %. Compared with traditional atmospheric correction algorithms, SSACNet has significantly improved the spatial and spectral information fidelity. In addition, SSACNet also shows good applicability, as it can be used in both clear ocean waters and turbid coastal waters. This study lays a foundation for the quantitative remote sensing of water environment by broadband optical satellites.",Physical Geography; Geology; Remote Sensing; Imaging Science & Photographic Technology,no,"Landsat-8, HY-1C",Atmospheric correction,Others,Regression,yes,,,,,,,,,,,,0.7921,,,
C,Kang J.; Demir B.,Band-Wise Multi-Scale CNN Architecture for Remote Sensing Image Scene Classification,International Geoscience and Remote Sensing Symposium (IGARSS),2020,convolutional neural networks; Deep learning; feature extraction; remote sensing; scene classification,"Most of the existing convolutional neural network (CNN) architectures in the framework of image scene classification problems are designed for modeling RGB image bands. Direct application of these architectures to the high-dimensional remote sensing (RS) scene classification can be insufficient to accurately describe the spectral content. To address this issue, we propose a novel CNN architecture for the feature embedding of high-dimensional RS images. The proposed architecture aims at: 1) decoupling the spectral and spatial feature extraction for sufficiently describing the complex information content of images; and 2) taking advantage of multi-scale representations of different land-use and land-cover classes present in the images. To this end, the proposed architecture is mainly composed of: 1) a convolutional layer for band-wise extraction of multi-scale spatial features; 2) a convolutional layer for pixel-wise extraction of spectral features; and 3) standard 2D convolution and residual blocks for further feature learning. Experiments on BigEarthNet validate the effectiveness of the proposed method, when compared to the state-of-the-art CNN architectures. © 2020 IEEE.",,yes,Sentinel-2,Land-use and land-cover,Vegetation,Classification,yes,73.07,81.84,,,,,,,,,,,,,
J,Virnodkar S.S.; Pachghare V.K.; Patil V.C.; Jha S.K.,CaneSat dataset to leverage convolutional neural networks for sugarcane classification from Sentinel-2,Journal of King Saud University - Computer and Information Sciences,2022,Convolutional neural network; Deep network; Multi-temporal remote sensing images; Sugarcane classification,"The ubiquitous deep learning (DL) in remote sensing (RS) motivates the most challenging problem of crop classification. To perpetrate such an exigent task, an attempt is made to prepare a novel dataset, the CaneSat dataset, in two formats: RGB color space and geo-tiff images, covering the region of four talukas in Karnataka, India. This research aims to build a model for sugarcane classification using two-dimensional convolutional neural network (CNN or ConvNet) applying RS time series data. Further, the study intents to evaluate competency of four state-of-the-art deep CNNs namely AlexNet, GoogLeNet, ResNet50 and DenseNet201 using fine tuning and deep CNNs as feature extractors to classify sugarcane and non-sugarcane areas from Sentinel-2 data. The results of the research are expressive on CaneSat dataset. It shows that the CNN model performs significantly good producing 88.46% accuracy, whereas all deep networks exhibit more than 73.00% overall accuracy. When used as feature extractors, ResNet50 and DenseNet201 outperform all other models with precision of 85.65% and 87.70%, respectively. Noticeably, the results indicate that 2D CNN model and features extracted using CNNs with SVM classifier are efficient methods for sugarcane classification from Sentinel-2 time series data in peninsular zone of India. © 2020 The Authors",,yes,Sentinel-2,Sugarcane classification,Vegetation,Classification,no,88.46,,,,,,,,,,,,,,
C,M. Chelali; C. Kurtz; A. Puissant; N. Vincent,Classification of spatially enriched pixel time series with convolutional neural networks,2020 25th International Conference on Pattern Recognition (ICPR),2021,,"Satellite Image Time Series (SITS), MRI sequences, and more generally image time series, constitute 2D+t data providing spatial and temporal information about an observed scene. Given a pattern recognition task such as image classification, considering jointly such rich information is crucial during the decision process. Nevertheless, due to the complex representation of the data-cube, spatio-temporal features extraction from 2D+t data remains difficult to handle. We present in this article an approach to learn such features from this data, and then to proceed to their classification. Our strategy consists in enriching pixel time series with spatial information. It is based on Random Walk to build a novel segment-based representation of the data, passing from a 2D+t dimension to a 2D one, without loosing too much spatial information. Such new representation is then involved in an end-to-end learning process with a classical 2D Convolutional Neural Network (CNN) in order to learn spatiotemporal features for the classification of image time series. Our approach is evaluated on a remote sensing application for the mapping of agricultural crops. Thanks to a visual attention mechanism, the proposed 2D spatio-temporal representation makes also easier the interpretation of a SITS to understand spatiotemporal phenomenons related to soil management practices.",,yes,Sentinel-2,Agricultural crops classification,Agriculture,Classification,yes,94.64,,,,,,,,,,,,,,
