Publication Type,Authors,Article Title,Source Title,Publication Year,Author Keywords,Abstract,WoS Categories,Research Areas,Open Access,Satellite,Application,Domain,Title_lower,ML Technique,Complex,Accuracy (%),F1-score (%),Precision (%),Recall (%),Producer accuracy (%),User accuracy (%),Pixel accuracy,Kappa (%),IoU (%),MIoU (%),Dice (%),R-squared,RMSE,MAE,Parameter
J,"Jiang, H; Lu, N",Multi-Scale Residual Convolutional Neural Network for Haze Removal of Remote Sensing Images,REMOTE SENSING,2018,haze removal; multi-scale context aggregation; residual learning; convolutional neural network; Landsat 8 OLI,"Haze removal is a pre-processing step that operates on at-sensor radiance data prior to the physically based image correction step to enhance hazy imagery visually. Most current haze removal methods focus on point-to-point operations and utilize information in the spectral domain, without taking consideration of the multi-scale spatial information of haze. In this paper, we propose a multi-scale residual convolutional neural network (MRCNN) for haze removal of remote sensing images. MRCNN utilizes 3D convolutional kernels to extract spatial-spectral correlation information and abstract features from surrounding neighborhoods for haze transmission estimation. It takes advantage of dilated convolution to aggregate multi-scale contextual information for the purpose of improving its prediction accuracy. Meanwhile, residual learning is utilized to avoid the loss of weak information while deepening the network. Our experiments indicate that MRCNN performs accurately, achieving an extremely low validation error and testing error. The haze removal results of several scenes of Landsat 8 Operational Land Imager (OLI) data show that the visibility of the dehazed images is significantly improved, and the color of recovered surface is consistent with the actual scene. Quantitative analysis proves that the dehazed results of MRCNN are superior to the traditional methods and other networks. Additionally, a comparison to haze-free data illustrates the spectral consistency after haze removal and reveals the changes in the vegetation index.","Environmental Sciences; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,Landsat-8,Haze Removal,Others,multi-scale residual convolutional neural network for haze removal of remote sensing images,Image enhancement,yes,,,,,,,,,,,,,,,
J,"Xu, ZW; Guan, KY; Casler, N; Peng, B; Wang, SW",A 3D convolutional neural network method for land cover classification using LiDAR and multi-temporal Landsat imagery,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,2018,Big data analysis; Convolutional neural network; Land cover classification; LiDAR; Multi-temporal Landsat imagery,"Terrestrial landscape has complex three-dimensional (3D) features that are difficult to extract using traditional methods based on 2D representations. These methods often relegate such features to raster or metric-based (two-dimensional) representations based on Digital Surface Models (DSM) or Digital Elevation Models (DEM), and thus are not suitable for resolving morphological and intensity features for fine-scale land cover mapping. Small footprint LiDAR provides an ideal way for capturing these 3D features. This research develops a novel method of integrating airborne LiDAR derived features and multi-temporal Landsat images to classify land cover types. We tested our approach in Williamson County, Illinois, which has diverse and mixed landscape features. Specifically, our method applied a 3D convolutional neural network (CNN) approach to extract features from LiDAR point clouds by (1) creating an occupancy grid, an intensity grid at 1-meter resolution, and then (2) normalizing and incorporating data into the 3D CNN. The extracted features (e.g., morphological and intensity features) from the 3D CNN were finally combined with multi-temporal spectral data to enhance the performance of land cover classification based on a Support Vector Machine classifier. Visual interpretation from both hyper-resolution photos and point clouds was used for training and preparation of testing data. The classification results show that our method outperforms a traditional method by 2.65% (from 81.52% to 84.17%) when solely using LiDAR and 2.19% (from 90.20% to 92.57%) when combining all available imageries. We demonstrate that our method can effectively extract LiDAR features and improve fine-scale land cover mapping through fusion of complementary types of remote sensing data.","Geography, Physical; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Physical Geography; Geology; Remote Sensing; Imaging Science & Photographic Technology,no,Landsat,Land cover classification,Urban,a 3d convolutional neural network method for land cover classification using lidar and multi-temporal landsat imagery,Classification,yes,,,,,,,,,,,,,,,
J,"Ji, SP; Zhang, C; Xu, AJ; Shi, Y; Duan, YL",3D Convolutional Neural Networks for Crop Classification with Multi-Temporal Remote Sensing Images,REMOTE SENSING,2018,3D convolution; convolutional neural networks; crop classification; multi-temporal remote sensing images; active learning,"This study describes a novel three-dimensional (3D) convolutional neural networks (CNN) based method that automatically classifies crops from spatio-temporal remote sensing images. First, 3D kernel is designed according to the structure of multi-spectral multi-temporal remote sensing data. Secondly, the 3D CNN framework with fine-tuned parameters is designed for training 3D crop samples and learning spatio-temporal discriminative representations, with the full crop growth cycles being preserved. In addition, we introduce an active learning strategy to the CNN model to improve labelling accuracy up to a required threshold with the most efficiency. Finally, experiments are carried out to test the advantage of the 3D CNN, in comparison to the two-dimensional (2D) CNN and other conventional methods. Our experiments show that the 3D CNN is especially suitable in characterizing the dynamics of crop growth and outperformed the other mainstream methods.","Environmental Sciences; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,Gaofen-2,Crop classification,Agriculture,3d convolutional neural networks for crop classification with multi-temporal remote sensing images,Classification,no,94.9,,,,,,,91.3,,,,,,,
C,Li N.; Wang R.; Zhao H.; Wei W.,AN IMPROVED FEATURE EXTRACTION METHOD BASED on CONTEXT FEATURES for MULTI-SPECTRAL REMOTE SENSING IMAGERY,"ICSIDP 2019 - IEEE International Conference on Signal, Information and Data Processing 2019",2019,3D convolution network; context information; feature extraction; multi-spectral remote sensing images; small objects,"Feature extraction methods of multi-spectral remote sensing images is of great significance for remote sensing image analysis, but it still faces some challenges. The ability of traditional feature extraction methods based on artificial features or shallow machine learning have some shortcomings and limitations. Recently, a series of proposed R-CNN networks, especially Faster R-CNN, have achieved excellent results in the field of target recognition. However, Faster R-CNN for multi-spectral imagery object detection has several drawbacks: (1) the object spectral information cannot be fully utilized in Faster R-CNN used to process RGB images; (2) the spatial semantic relationship information which could not be mined by Faster R-CNN among remote sensing image features can improve the feature extraction ability of the network; (3) objects occupy relatively few pixels because of the low resolution of multi-spectral images, and Faster R-CNN has poor detection performance for small objects. To address the above problems, we propose an effective and novel object detection method for multi-spectral images with small objects. First, we design a feature extractor by adopting a 3D convolution neural network which can simultaneously extract spectral information and spatial information. Secondly, an object relation module for mining context information is introduced into the network. Finally, in order to solve the problem of small targets, a multi-scale object proposal network for generating regions of objects from several intermediate layers is used. We conducted a set of controlled trials on the satellite imagery feature detection dataset released by Dstl on the Kaggle website and the results showed that our approach was very effective. Â© 2019 IEEE.",Conference paper,,yes,WorldView-3,Feature extraction,Others,an improved feature extraction method based on context features for multi-spectral remote sensing imagery,Classification,yes,,,,,,,,,,,,,,,
C,A. B. Molini; D. Valsesia; G. Fracastoro; E. Magli,Deep Learning For Super-Resolution Of Unregistered Multi-Temporal Satellite Images,2019 10th Workshop on Hyperspectral Imaging and Signal Processing: Evolution in Remote Sensing (WHISPERS),2019,Multi-image superresolution;convolutional neural networks;multi-temporal images,"Recently, convolutional neural networks (CNN) have been successfully applied to many remote sensing tasks. However, deep learning for multi-image superresolution from multitemporal imagery has received little attention so far. We propose a residual CNN that exploits both spatial and temporal correlations in the low-resolution image set by using 3D convolutional layers to combine multiple images from the same scene. The experiments have been carried out using a dataset of PROBA-V satellite ground images, composed of several low-resolution and high-resolution images taken at different times from instruments on the same platform, in the context of a challenge issued by the European Space Agency.",IEEE Conferences,,yes,PROBA-V,Improvement of the satellite image quality,Others,deep learning for super-resolution of unregistered multi-temporal satellite images,Regression,yes,,,,,,,,,,,,,,,
J,"Sun, ZC; Zhao, XW; Wu, MF; Wang, CZ",Extracting Urban Impervious Surface from WorldView-2 and Airborne LiDAR Data Using 3D Convolutional Neural Networks,JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,2019,WorldView-2; Airborne light detection and ranging (LiDAR); Impervious surface; Convolutional neural networks (CNNs); Support vector machine (SVM),"The urban impervious surface has been recognized as a key quantifiable indicator in assessing urbanization and its environmental impacts. Adopting deep learning technologies, this study proposes an approach of three-dimensional convolutional neural networks (3D CNNs) to extract impervious surfaces from the WorldView-2 and airborne LiDAR datasets. The influences of different 3D CNN parameters on impervious surface extraction are evaluated. In an effort to reduce the limitations from single sensor data, this study also explores the synergistic use of multi-source remote sensing datasets for delineating urban impervious surfaces. Results indicate that our proposed 3D CNN approach has a great potential and better performance on impervious surface extraction, with an overall accuracy higher than 93.00% and the overall kappa value above 0.89. Compared with the commonly applied pixel-based support vector machine classifier, our proposed 3D CNN approach takes advantage not only of the pixel-level spatial and spectral information, but also of texture and feature maps through multi-scale convolutional processes, which enhance the extraction of impervious surfaces. While image analysis is facing large challenges in a rapidly developing big data era, our proposed 3D CNNs will become an effective approach for improved urban impervious surface extraction.",Environmental Sciences; Remote Sensing,Environmental Sciences & Ecology; Remote Sensing,yes,WorldView-2,Extracting Urban Impervious Surface,Urban,extracting urban impervious surface from worldview-2 and airborne lidar data using 3d convolutional neural networks,Classification,no,93.2,,,,93.47,93.75,,89.36,,,,,,,
C,A. S. Terliksiz; D. T. AltÃ½lar,"Use Of Deep Neural Networks For Crop Yield Prediction: A Case Study Of Soybean Yield in Lauderdale County, Alabama, USA",2019 8th International Conference on Agro-Geoinformatics (Agro-Geoinformatics),2019,crop yield prediction;deep neural networks;convolutional neural networks,"World population is constantly increasing and it is necessary to have sufficient crop production. Monitoring crop growth and yield estimation are very important for the economic development of a nation. The prediction of crop yield has direct impact on national and international economies and play important role in the food management and food security. Deep learning gains importance on crop monitoring, crop type classification and crop yield estimation applications with the recent advances in image classification using deep Convolutional Neural Networks. Traditional crop yield prediction approaches based on remote sensing consist of classical Machine Learning methods such as Support Vector Machines and Decision Trees. Convolutional Neural Network (CNN] and Long-Short Term Memory Network (LSTM] are deep neural network models that are proposed for crop yield prediction recently. This study focused on soybean yield prediction of Lauderdale County, Alabama, USA using 3D CNN model that leverages the spatiotemporal features. The yield is provided from USDA NASS Quick Stat tool for years 2003-2016. The satellite data used is collected from NASA's MODIS land products surface reflectance, land surface temperature and land surface temperature via Google Earth Engine. The root mean squared error (RMSE] is used as the evaluation metric in order to be able to compare the results with other methods that generally uses RMSE as the evaluation metric.",IEEE Conferences,,yes,MODIS,Crop yield prediction,Agriculture,"use of deep neural networks for crop yield prediction: a case study of soybean yield in lauderdale county, alabama, usa",Regression,no,,,,,,,,,,,,,0.81,,Soybean yield (bsh/ac)
J,"Lee, J; Im, J; Cha, DH; Park, H; Sim, S",Tropical Cyclone Intensity Estimation Using Multi-Dimensional Convolutional Neural Networks from Geostationary Satellite Data,REMOTE SENSING,2020,tropical cyclones; multispectral imaging; 2D; 3D convolutional neural networks,"For a long time, researchers have tried to find a way to analyze tropical cyclone (TC) intensity in real-time. Since there is no standardized method for estimating TC intensity and the most widely used method is a manual algorithm using satellite-based cloud images, there is a bias that varies depending on the TC center and shape. In this study, we adopted convolutional neural networks (CNNs) which are part of a state-of-art approach that analyzes image patterns to estimate TC intensity by mimicking human cloud pattern recognition. Both two dimensional-CNN (2D-CNN) and three-dimensional-CNN (3D-CNN) were used to analyze the relationship between multi-spectral geostationary satellite images and TC intensity. Our best-optimized model produced a root mean squared error (RMSE) of 8.32 kts, resulting in better performance (35%) than the existing model using the CNN-based approach with a single channel image. Moreover, we analyzed the characteristics of multi-spectral satellite-based TC images according to intensity using a heat map, which is one of the visualization means of CNNs. It shows that the stronger the intensity of the TC, the greater the influence of the TC center in the lower atmosphere. This is consistent with the results from the existing TC initialization method with numerical simulations based on dynamical TC models. Our study suggests the possibility that a deep learning approach can be used to interpret the behavior characteristics of TCs.","Environmental Sciences; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,COMS,Tropical Cyclone Intensity,Geohazards,tropical cyclone intensity estimation using multi-dimensional convolutional neural networks from geostationary satellite data,Regression,no,,,,,,,,,,,,0.8856,11.34,8.65,Maximum sustained wind speed (kts)
J,Chen Y.; Tang L.; Kan Z.; Latif A.; Yang X.; Bilal M.; Li Q.,Cloud and cloud shadow detection based on multiscale 3D-CNN for high resolution multispectral imagery,IEEE Access,2020,Cloud detection; cloud shadow; convolution neural networks; multiscale 3D-CNN,"Cloud and cloud shadow detection is one of the most important tasks for optical remote sensing image preprocessing. It is not an easy task due to the variety and complexity of underlying surfaces, such as the low-albedo objects (water and mountain shadow) and the high-albedo objects (snow and ice). In this study, an end-to-end multiscale 3D-CNN method is proposed for cloud and cloud shadow detection in high resolution multispectral imagery. Specifically, a multiscale learning module is designed to extract cloud and cloud shadow contextual information of different levels. In order to make full use of band information, four band-combination images are inputted into the multiscale 3D-CNN. A joint spectral-spatial information of 3D-convolution layer is developed to fully explore the joint spatial-spectral correlations feature in the input data. Overall, in the experiments undertaken in this paper, the proposed method achieved a mean overall accuracy of 97.27 & x0025; for cloud detection, with a mean precision of 96.02 & x0025; and a mean recall of 95.86 & x0025;. For cloud shadow detection, the proposed method achieved a mean precision of 95.92 & x0025; and a mean recall of 92.86 & x0025;. Experimental results on two validation datasets (GF-1 WFV validation data and ZY-3 validation data) show that the proposed multiscale-3D-CNN method achieved good performance with limited spectral ranges.","Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications",Science Citation Index Expanded (SCI-EXPANDED),yes,"Gaofen-1, ZY-3",Cloud and Cloud Shadow Detection,Others,cloud and cloud shadow detection based on multiscale 3d-cnn for high resolution multispectral imagery,Classification,no,98.87,,95.59,93.73,,,,,,,,,,,
J,"Salvetti, F; Mazzia, V; Khaliq, A; Chiaberge, M",Multi-Image Super Resolution of Remotely Sensed Images Using Residual Attention Deep Neural Networks,REMOTE SENSING,2020,deep learning; multi-image super-resolution; attention networks; 3D convolutional neural networks,"Convolutional Neural Networks (CNNs) consistently proved state-of-the-art results in image Super-resolution (SR), representing an exceptional opportunity for the remote sensing field to extract further information and knowledge from captured data. However, most of the works published in the literature focused on the Single-image Super-resolution problem so far. At present, satellite-based remote sensing platforms offer huge data availability with high temporal resolution and low spatial resolution. In this context, the presented research proposes a novel residual attention model (RAMS) that efficiently tackles the Multi-image Super-resolution task, simultaneously exploiting spatial and temporal correlations to combine multiple images. We introduce the mechanism of visual feature attention with 3D convolutions in order to obtain an aware data fusion and information extraction of the multiple low-resolution images, transcending limitations of the local region of convolutional operations. Moreover, having multiple inputs with the same scene, our representation learning network makes extensive use of nestled residual connections to let flow redundant low-frequency signals and focus the computation on more important high-frequency components. Extensive experimentation and evaluations against other available solutions, either for Single or Multi-image Super-resolution, demonstrated that the proposed deep learning-based solution can be considered state-of-the-art for Multi-image Super-resolution for remote sensing applications.","Environmental Sciences; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,PROBA-V,Improvement of the satellite image quality,Others,multi-image super resolution of remotely sensed images using residual attention deep neural networks,Image enhancement,yes,,,,,,,,,,,,,,,
